"","BNC","Bog_T0","III_Bog_N1","III_Bog_N2","II_Bog_N1","II_Bog_N2","I_Bog_N1","I_Bog_N2"
"FT001",4281246.88935381,1447325.27366832,1964508.51372364,1755048.59208034,1470807.68837952,1568534.90859415,1699757.54647559,1584472.43801574
"FT002",1802814.61813211,0,0,0,0,0,0,0
"FT003",1245197.74442708,40961.8530449667,115206.476595741,75536.6259158608,44075.0556304153,65364.9195085753,38817.2077440212,81496.2705636186
"FT004",5079142.68734617,524479.578022351,1647060.84933674,935217.349679575,1169840.2575404,1296816.82062207,1170790.73027301,1407095.44485851
"FT005",11004893.4929194,3833.11406023403,2443.15314007101,4821.49659876597,6159.00499907308,5007.68318680994,2887.44460324518,0
"FT006",3083859.94528246,215894.826776976,372624.503149414,229155.239772859,190997.750653584,261859.702862336,168389.71159916,290159.11162359
"FT007",2565895.91781247,0,1611.09512945407,0,0,382.442005714297,0,574.780700638771
"FT008",44548306.8599836,370797.555252248,842139.64320358,427893.567718328,118643.85205371,496719.708732252,236827.362531136,582163.0827388
"FT009",1283419.12522839,0,0,0,0,0,0,0
"FT010",8446639.14919092,63537.3345159843,159195.733879173,76556.8228231171,17691.0968783466,89057.1230278799,43857.1412369724,112246.447330255
"FT011",15783627.803762,283173.900318419,995691.033606453,379839.413314751,136190.695128637,425975.500330894,259190.276343663,542486.103139296
"FT012",3193943.2593164,7480.02244791078,24090.9344487572,10655.8072428688,6686.71836628311,12305.7387276419,6542.961534388,15105.1044096912
"FT013",11352382.6213542,1046844.6936438,2664591.21723634,2117059.98005324,1396329.55833734,1645036.27305664,1751934.81305138,1794276.54164064
"FT014",1387938.24344199,682123.709206433,1194504.99328124,1176249.99462305,1697146.56864259,1385782.02753907,2212689.59662174,2006149.45847244
"FT015",4229177.08950005,10903.6709862146,55269.0642839379,13010.8261583898,6632.95524441763,19545.5638442148,165038.845921573,79322.3747787696
"FT016",2423673.87174879,20886.4355080337,55228.2140695277,25709.1075720271,15409.2126108158,29113.1124997773,40512.1043438069,50735.6394239052
"FT017",27096838.7415364,88804.7678528218,430391.752151418,141999.621227124,68433.4722690593,165361.477999786,195336.129069618,222697.278944422
