"","name","xend","yend","coord","cos2","contrib","PC1_Vector_corr","PC2_Vector_corr","abs_PC1_Vector_corr","abs_PC2_Vector_corr"
"249","FT249",-13.8050636510664,0.731900100894448,0.995641958234498,0.995641958234498,0.204145591457953,-0.996419225109944,0.0528269445055984,0.996419225109944,0.0528269445055984
"250","FT250",-13.8426820418784,-0.173044063619924,0.998425623977971,0.998425623977971,0.204716351945619,-0.999134438076015,-0.0124899410926455,0.999134438076015,0.0124899410926455
"251","FT251",-13.8461316028442,0.0303617424065388,0.998772022243819,0.998772022243819,0.204787377155311,-0.99938341982296,0.00219144399521651,0.99938341982296,0.00219144399521651
"252","FT252",-13.8380244024757,-0.153005675652757,0.997719925346313,0.997719925346313,0.204571656090488,-0.998798259876353,-0.0110436141856953,0.998798259876353,0.0110436141856953
"253","FT253",-13.8392960013639,-0.168389002136046,0.997929032676073,0.997929032676073,0.204614531281875,-0.998890041095972,-0.0121539489615084,0.998890041095972,0.0121539489615084
"254","FT254",-13.8400574748946,-0.178556740758085,0.998057214457417,0.998057214457417,0.204640813566737,-0.998945002585799,-0.0128878340412857,0.998945002585799,0.0128878340412857
"255","FT255",5.26259654103952,-8.89162535837865,0.556159491227635,0.556159491227635,0.114034475287631,0.379842679471008,-0.641778022434487,0.379842679471008,0.641778022434487
"256","FT256",-13.8393092217962,-0.17392387590639,0.997940809483581,0.997940809483581,0.204616945988602,-0.998890995317787,-0.0125534440143908,0.998890995317787,0.0125534440143908
"257","FT257",-13.8399762114721,0.0303325558311865,0.99788419296835,0.99788419296835,0.204605337385838,-0.998939137170138,0.00218933737220258,0.998939137170138,0.00218933737220258
"258","FT258",-13.8287682594922,-0.687581277066615,0.998726789000096,0.998726789000096,0.204778102568983,-0.998130171770981,-0.0496281089759336,0.998130171770981,0.0496281089759336
"259","FT259",-13.8402582992704,-0.140009301730099,0.998022200375043,0.998022200375043,0.204633634308674,-0.998959497648907,-0.0101055644120347,0.998959497648907,0.0101055644120347
