"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Sample_type",2,0.273321486764774,0.136660743382387,3.48769619001056,0.566288362896765,0.007
"Time",2,0.0917817503543586,0.0458908751771793,1.17117342223038,0.19016045085654,0.315
"Residuals",3,0.117551015860106,0.0391836719533686,NA,0.243551186246694,NA
"Total",7,0.482654252979239,NA,NA,1,NA
