"SampleID","PC1","PC2","FileName","Time","Sample_type"
"BNC",-142.596570890444,-0.409625113698925,"Saleska_BNC_23Jan18_Gimli-FA_ZORBAX-1142_Neg.mzXML","T0","Litter"
"Bog_T0",23.3276807896587,-52.3648050992004,"Saleska_Bog_T0_23Jan18_Gimli-FA_ZORBAX-1142_Neg.mzXML","T0","peat"
"I_Bog_N1",21.4257170720263,15.4683313616863,"Saleska_I_Bog_N1_23Jan18_Gimli-FA_ZORBAX-1142_Neg.mzXML","T1","peat_litter"
"I_Bog_N2",21.5267623460825,20.8072856125986,"Saleska_I_Bog_N2_23Jan18_Gimli-FA_ZORBAX-1142_Neg.mzXML","T1","peat_litter"
"II_Bog_N1",25.173809719493,11.2788770428173,"Saleska_II_Bog_N1_23Jan18_Gimli-FA_ZORBAX-1142_Neg.mzXML","T2","peat_litter"
"II_Bog_N2",15.6508590806814,4.2598482049021,"Saleska_II_Bog_N2_23Jan18_Gimli-FA_ZORBAX-1142_Neg.mzXML","T2","peat_litter"
"III_Bog_N1",14.7844856618099,-2.24917730337359,"Saleska_III_Bog_N1_23Jan18_Gimli-FA_ZORBAX-1142_Neg.mzXML","T3","peat_litter"
"III_Bog_N2",20.7072562206918,3.20926529426822,"Saleska_III_Bog_N2_23Jan18_Gimli-FA_ZORBAX-1142_Neg.mzXML","T3","peat_litter"
