"","BNC","Bog_T0","III_Bog_N1","III_Bog_N2","II_Bog_N1","II_Bog_N2","I_Bog_N1","I_Bog_N2"
"FT0765",147716.820922156,8776.75758995233,0,3293.06513561062,24095.3682076637,15190.6325449685,0,0
"FT0766",410797.111188616,41728.6571435778,93098.481125433,83088.1404505661,68138.885004506,58170.7652204698,85135.0341856395,67223.9185573196
"FT0767",1143008.15129813,37615.2864757918,63024.8404524579,47132.8997298478,55289.0264040614,16197.7771251411,67722.7066687099,43399.688242807
"FT0768",4595259.9997925,105009.451723557,189085.881854349,147680.309263587,154780.094503621,189630.878789825,271693.145749928,208675.582093503
"FT0769",272487.240634592,105794.602851615,329616.300709511,180459.320185549,216957.796795187,214364.884779785,323309.838903618,1080502.36072972
"FT0770",498699.8979988,83669.6251412964,68629.2705213869,31794.6128316767,27007.1031951911,6403.89347663531,217861.309559985,185134.718364258
"FT0771",471122.228295897,8890.17615008607,51993.7226111851,24851.3125699317,66039.304614258,51837.6830345195,15628.2082540497,38524.7236118876
"FT0772",222979.279661457,0,3815.57975695159,0,0,0,0,0
"FT0773",1098850.26116455,2724.12237151839,5388.13955551229,7987.54276384676,0,18742.9606284099,11461.0680360708,21548.8805964824
"FT0774",460172.781233113,3185.09864360746,5989.54991457,12649.6158365751,0,0,4837.00732736047,7711.017568198
"FT0775",63684316.6577914,26369654.699433,32389459.5400038,22207707.6162522,16951962.1228767,19149663.7968548,20518843.2721405,18319849.1100951
"FT0776",1469068.14066145,116118.081736944,100627.696939555,89886.1278777291,291664.493543589,243251.834962564,49751.151981193,70191.5461353057
"FT0777",2901308.59656853,96181.7601250804,241175.800099965,175811.508597691,128632.172134347,230308.4742862,277739.485368781,239768.596738548
"FT0778",600333.657213673,0,0,0,0,338614.00892735,0,0
"FT0779",108315.118948925,99204.2183106533,135539.416570346,176030.446582028,154768.639689125,262817.080769043,138796.925468597,247496.993118286
"FT0780",173219.678367202,4354.72484757065,24957.0926705287,19708.0385636901,4788.02991805754,12311.9949995555,17030.5652714587,24330.7017833812
"FT0781",15764717.346023,5975759.54985122,7813409.3543542,5332600.33603573,3937832.5800558,4489523.72656808,4755805.41873048,4306265.99269793
"FT0782",252123.185682942,17532.9825943402,0,0,10389.1456530245,34051.3661800118,5028.45384042506,3852.82735200418
"FT0783",2969671.59124024,1145538.43267857,1512575.63342968,927066.525543715,633738.667999268,785869.353571774,682488.915445309,688333.694282224
"FT0784",484072.302817005,102360.668217771,106881.243101875,89506.9685670912,124455.411091149,130076.169570846,155291.481095167,148123.007483966
"FT0785",31570.8101408313,33822.753463527,26925.3861553696,88100.9866583559,2981919.83053784,208302.309040905,867006.179620822,240543.617605732
"FT0786",1273451.16165866,48598.074834757,159698.700624651,93568.3349810967,140298.250997918,152270.786398865,75467.325263104,125592.764685833
"FT0787",192261.203774415,54791.1731200253,4548.1069254791,5291.94328629073,24103.0465431908,17011656.4205078,2776.56479315913,5574.5996874104
"FT0788",361929.36849758,26914.8369428317,49396.0236623002,54739.6495241544,12300.7333672436,25799.0538001667,2614.90519749467,24452.2129140436
"FT0789",182423.23949707,113847.129517416,103796.744685725,102483.669849179,55604.2242980914,3630058.76269531,98303.2010734652,64366.7628709147
"FT0790",290608.408582032,0,0,0,0,0,1766.72714081809,0
"FT0791",551612.679811853,44919.990809719,135134.886756791,138439.606381876,105786.466855552,118571.741472172,97911.720171248,110455.532646371
