"","BNC","Bog_T0","III_Bog_N1","III_Bog_N2","II_Bog_N1","II_Bog_N2","I_Bog_N1","I_Bog_N2"
"FT0001",4433135.81393832,1796390.8795013,2287391.2621875,1650813.40711862,1392352.97898986,1485242.27584915,1524916.41794434,1453183.25922149
"FT0002",1321113.35100663,506652.539716447,681597.405198646,0,298200.146796123,383164.141470336,326482.097895159,351700.809208232
"FT0003",685585.558411333,252519.861928932,258163.857206218,199310.617323537,168532.65357978,175712.671014547,195887.536623094,183957.043787535
"FT0004",944365.169208866,62148.8920017059,52580.3534822717,57493.6374024873,19596.4135993808,40850.1221451328,240987.121668278,163566.094049282
"FT0005",437749.992641316,15137.4295979317,56926.4023216529,11753.1881977433,0,0,5033.62004370977,19341.1177711707
"FT0006",91390.4722851696,128009.672543538,85953.151011841,67902.0500434419,89281.1006294932,108427.437656802,66242.7646854099,72644.8952674781
"FT0007",377529.892511721,163917.745756225,222160.2609375,128474.625523153,194165.878030579,181988.167829483,116455.761167969,213907.641146604
"FT0008",919960.144816196,58868.436718996,122053.004152076,128529.914538353,189446.991420084,279379.080763224,248597.661533212,269333.957096033
"FT0009",136740.045006943,58230.6423017018,81415.5513306396,103836.706220971,84904.2064093886,107529.675880084,97876.9704449342,100118.575331113
"FT0010",534701.685397027,237565.242331765,355857.226958984,251135.650676491,317449.087781573,400341.860048078,328280.818039769,346370.431446778
"FT0011",231742.813701923,0,0,735.377929686849,0,0,0,0
"FT0012",224914.050231436,96775.2251742131,205915.877057292,217939.749794902,243906.286363526,166172.910598145,295324.7348676,195859.348883789
"FT0013",2149.06266186373,5520.39827778871,102205.692549242,141132.33744075,132946.751629991,106347.28527904,120036.519978934,202338.328901856
"FT0014",142388.283747195,375804.148874324,328123.292393972,256810.417639648,372825.493510046,264656.786539841,241755.725869953,248374.379033204
"FT0015",0,366619.733906248,92435.5826608962,70875.3436823496,117884.062649871,85984.4481314232,24258.8170345055,38145.4727650491
"FT0016",397834.879512846,6151.62280323717,76514.878480428,63866.4696189731,32967.8148521995,59630.4696515922,66441.5600529818,79348.946179272
"FT0017",146027.031240235,0,2491.41014715091,1505.81418809832,0,0,0,0
"FT0018",695128.746963942,326785.967587365,0,0,0,0,0,0
"FT0019",210474.551679036,95251.9191579977,0,0,0,0,2491.83309652033,0
"FT0020",283321.839689009,460332.479325255,286332.374484489,260808.798807291,298434.840489679,249004.105860943,220079.077908654,241979.336433291
"FT0021",402564.679166173,140665.227370922,160497.577376442,160127.394560976,161074.836031786,196660.181610577,262012.435094448,195224.298962358
"FT0022",544546.069363801,34389.3404120797,96362.3454197954,36504.0172453562,29524.1959672676,48015.1138663724,47590.5758201173,61169.711782861
"FT0023",4835868.65960742,149520.666364307,5621.7380059373,29118.997277764,20215.9303313098,123387.395401778,42332.856413675,52795.8416940678
"FT0024",1860259.15696345,59260.9133711279,196316.797838095,77412.8972042445,59638.0116337185,119885.992912469,241668.364357304,219065.998012698
"FT0025",528592.138899382,0,3888.6732392083,0,0,0,0,0
"FT0026",180671.003989957,1432.62770362897,13294.5208811965,1811.6392033149,0,3970.45913072469,17752.4009734587,30503.7287994806
"FT0027",410872.577151444,363451.890020846,290794.413266603,174918.373048502,217507.394722713,278751.560516826,353029.670592992,426490.774431561
"FT0028",1895393.95620955,777742.976062501,632000.212091536,464168.391065831,380891.943663226,380339.920289885,420851.935564576,247796.190293163
"FT0029",282506.75283654,21985.8566499455,6349.63706025118,6008.07980176027,34093.3001576084,54865.4609197838,62793.1306281333,64126.2080306954
"FT0030",750484.031561376,101603.200235233,310842.406471349,240932.863258835,141118.315234948,144779.228381068,135326.202575832,159177.589084203
"FT0031",0,386681.121462887,142383.501550324,162362.896947084,543622.676186897,338455.437451167,111602.231596213,171416.101573447
"FT0032",0,166299.342759109,141229.190037656,148729.001944824,341386.647522416,332889.965800292,108260.303367405,156932.813133796
"FT0033",1886156.51408654,1310906.16801611,1622178.91596985,900132.0318704,740798.319060407,881854.476666572,3052527.5689077,2833278.2511328
"FT0034",290576.07379883,233461.737104007,209215.080509037,178011.694978719,288552.083500284,196849.295846209,119758.431483662,191508.594002444
"FT0035",416185.301876395,120879.626522568,142633.346125134,131920.561698521,69692.2318976403,72478.6646717254,121683.354588235,91305.0267857448
"FT0036",0,203179.093568871,151952.821803838,106843.428925321,109295.712098854,108426.928499123,113251.51134948,141246.401982758
"FT0037",167774.937532553,142813.892635073,162817.102368686,86910.7778915314,74311.6755825925,92910.7517734291,380826.735935647,348786.548830348
"FT0038",82104.1008030422,63261.3612334602,438253.710514648,688480.724522904,799998.092744153,491927.41975122,1025584.68357758,718004.17552717
"FT0039",0,919191.663917416,1475550.30784705,1531781.52356409,1104196.1785669,1038873.42701714,855000.693471568,1538224.73622136
"FT0040",157672.58339977,77837.5821334268,88328.6467088002,69630.7785956348,79213.321204537,94325.0975601626,114198.940535691,127019.183058117
"FT0041",2102239.4574707,3315.6160391165,28336.8209550235,4736.54305084681,489.531406879998,12962.1633972768,3214.55296589974,12849.0625904562
"FT0042",359464.412623478,0,3458.55947705358,0,0,0,0,0
"FT0043",682725.367926977,21865.5917516952,93807.3124377361,41140.2871113475,29589.1578108671,50605.4490228433,124071.530015844,185948.259658571
"FT0044",408147.842738341,1616.93664918587,15388.0916288719,1339.52593438247,0,2446.99144677721,1431.59659986591,4371.2410539479
"FT0045",789898.154115722,0,0,0,0,0,0,0
"FT0046",107905.532886959,1037522.97464728,0,0,0,0,0,0
"FT0047",748391.922714839,0,0,0,0,0,0,0
"FT0048",0,328430.719160156,0,0,0,0,0,0
"FT0049",180424.686360081,11275.2222876797,11479.6296318814,11167.6651917427,14537.4080365446,14308.8571255495,11207.8254929477,21577.4414265216
"FT0050",1819943.35004207,131438.606069689,353565.408955073,237517.248335335,134796.123986887,138395.607366071,160464.84817586,206727.530705915
"FT0051",439151.537858585,32243.4971956988,64350.9508791371,41886.8250600797,35186.4733440865,32249.8153957416,52692.9465362553,53598.0173322919
"FT0052",264089.920436196,21069.7170452947,67003.297656762,40974.1256368372,15795.2329339106,30739.5600962948,23034.2311338555,45501.0964188565
"FT0053",808794.348247908,0,0,0,0,0,0,0
"FT0054",172859.081894532,147073.866589913,295402.576377971,132753.721450953,164537.358999536,129167.382969395,98728.9213828124,136907.743812815
"FT0055",5630777.05757457,495782.857313633,1461440.49351887,1066706.2173678,1160586.40050455,1299849.76912109,1249591.04122219,1304709.43697916
"FT0056",268051.185696204,0,0,0,0,0,0,2081.46723583832
"FT0057",179889.83990625,0,0,0,0,0,0,0
"FT0058",1048005.53311612,100761.919179216,256504.787890904,167691.998106447,192295.96603338,234796.730915714,222902.93806108,255571.026572638
"FT0059",0,218472.426843621,1262438.81524841,837702.570256345,1021601.62641211,609177.650368248,332453.295282118,265004.003225506
"FT0060",51304.6007185315,482023.963778923,201022.714497973,171027.848963027,274762.056521484,231908.522679077,101164.542911769,100866.51564275
"FT0061",99043.9967761586,396089.017723042,185604.42371477,126389.556593268,92324.5638787106,95490.9713217979,122834.415583102,106066.505037228
"FT0062",219698.810295412,21827.6572768307,31185.4564801893,17556.0878551293,11698.7861534444,20241.3945563788,15485.7135948296,24513.755854857
"FT0063",67171.384469492,454598.375458151,0,0,0,6245.03909657734,0,0
"FT0064",275467.030183363,0,2916.02310752715,0,0,0,5178.24395764527,0
"FT0065",12325573.0464079,725717.107341794,764915.280617681,1000978.08271248,5459.71825477534,943340.511024249,2730.24776131647,0
"FT0066",362090.247187499,0,0,0,3264.07221775503,0,0,0
"FT0067",3193145.45664237,4330.41769246124,0,2157.96461354349,0,0,0,1907.38790192667
"FT0068",408907.918611782,0,0,0,0,0,0,0
"FT0069",2526066.77539714,2417.77023909267,1719235.64538163,524890.188584889,376810.290484564,591544.436539581,712260.023686734,711979.935749719
"FT0070",1307872.0337831,1134408.69092285,1042976.46148438,815933.396196287,885745.349207307,894823.621953129,489125.472746392,476690.743597661
"FT0071",335395.271795378,0,0,0,0,0,0,0
"FT0072",913295.853720962,931665.301806627,967144.883297391,982005.011947475,1029208.21786836,968610.893599071,965987.334003162,964928.897126459
"FT0073",700230.176765835,3008.13617298336,8833.57074198223,2820.18726454227,4250.96568654875,6397.05558898637,101345.923073579,65918.9231766737
"FT0074",135798.151766355,0,0,0,0,0,0,0
"FT0075",5811934.73594475,370.943586208525,47687.1449661879,4991.11857981633,0,2326.88478302062,3145.79947634382,19145.4501988044
"FT0076",105312.592422583,151705.659801987,160188.769484571,123463.447254774,117045.503501791,145285.56025015,141346.309395264,120797.486610107
"FT0077",2421394.09944318,0,22385.3041956984,0,991.072897621978,0,0,4557.74116853844
"FT0078",605086.094553804,0,0,0,683.389678551117,0,0,0
"FT0079",314361.002619484,0,8665.7672366451,0,0,0,0,0
"FT0080",242519.967261533,79942.7963734802,482950.330750909,372064.86165907,450032.459509281,367007.242044941,478124.643445312,1136196.28723289
"FT0081",337496.570567103,33089.6567233542,70079.0149470556,42759.1002706844,35090.4855281245,50984.9166377763,56778.3215188152,66904.9610577229
"FT0082",257467.843640138,0,0,0,0,0,0,0
"FT0083",140986.622548827,1431.3503093444,6597.50561234244,3894.26526253482,0,4330.70069854004,0,1214.64796034896
"FT0084",2433141.09575196,7244.15370428608,162108.040473477,44978.1127279465,27207.7311174025,58426.0143281304,61302.6059955751,85730.5435624413
"FT0085",382065.81730756,433.898809761171,22850.5732338346,1831.50287554105,0,3279.08890761605,338.117526514522,0
"FT0086",351642.997602542,0,15665.3720873538,4084.80165836656,0,0,3310.16833024408,0
"FT0087",229168.350843359,0,0,0,0,0,0,0
"FT0088",3808200.44899325,122850.118579577,69098.7453256966,113113.273176526,111194.245330982,173945.188846708,328878.302498045,181997.945208183
"FT0089",253864.497939075,186376.401817124,134257.690546289,105771.291297294,183111.455812171,202112.48825254,261578.500944184,288133.772233474
"FT0090",758176.417133787,6830.14092928536,49411.8165379918,39465.3677974747,52592.9614750263,88526.125097365,59807.0129043534,79463.3871461075
"FT0091",21093.6017874276,358579.110711264,46623.2737131207,108748.949132862,116588.875343375,215362.877894284,17472.6821150938,47931.4238458204
"FT0092",1008130.91133517,318993.53330841,632577.751469718,304372.858220882,455280.535327154,442451.996909661,537207.089862309,562734.473826091
"FT0093",610858.494945907,60124.2809847436,186114.290044327,126464.017725913,84521.7005855292,132063.329622878,88434.2313816962,140713.011945611
"FT0094",379443.309501952,128799.001515635,309309.313506035,183302.941040905,105300.217607313,126120.368706382,207955.729728871,299949.532197615
"FT0095",810203.620018307,0,4559.77222870444,2461.16183012456,0,263411.935922242,0,0
"FT0096",142146.766502196,46495.0812692853,115653.468380366,61494.0287775101,68740.9171050163,77382.4588945453,93873.658248862,104455.34813096
"FT0097",442909.251547408,29137.6423667921,116214.554020867,76649.216785454,70900.4978501536,92528.7039242026,73663.2136198256,99960.4863844505
"FT0098",174305.92170996,0,0,0,0,0,12134.5084921679,21242.8484233147
"FT0099",6738.21931503194,153384.109964351,2129500.67220981,1453180.1504451,2068255.23210571,1395415.59770355,334349.637311844,389663.598720704
"FT0100",3083859.94528246,217808.525870671,350649.199228141,199862.416650025,155789.954462889,228814.920307619,169164.952736946,234360.496475499
"FT0101",814036.644550084,147773.818345948,436304.326659612,269956.148339479,271496.266382697,330908.579262699,234492.187464759,253315.137426758
"FT0102",567995.090966799,30471.8003309887,58240.4501870973,39007.9082326208,30552.5797129263,43974.1144102558,29578.3146899149,45801.5660942774
"FT0103",695983.552365233,0,0,0,0,0,0,0
"FT0104",4421246.74120877,339.326693876331,31161.4621535643,399.973309663149,0,1062.29650282841,0,7258.16705391333
"FT0105",2302174.22010471,0,13874.906213129,0,0,0,0,0
"FT0106",1632868.95188965,0,0,0,0,0,53369.9069236248,37986.43349342
"FT0107",537396.199860615,19494.1226218143,28358.4855372535,19066.4070219672,3754.21766096376,51636.3951832602,112697.543835293,86135.9286126807
"FT0108",1742815.85601345,511423.666544595,393323.196765849,255032.597533482,209022.159887695,3042129.36054275,241616.679661458,225838.95869318
"FT0109",147881.860667836,142535.473851458,114343.220214844,107407.188207692,133907.566481952,96093.9389582177,72410.1305259783,75122.0665403404
"FT0110",271490.214808281,444427.854848068,325403.2997398,243644.317675222,264601.156969917,294274.655505354,193006.797792916,181920.635534835
"FT0111",984293.129531245,1534.14849581656,2598.47213229321,1397.02322520568,0,2237.84706373349,0,0
"FT0112",2705577.09277097,9941.6683341627,67694.6042675796,9800.75516305719,0,17320.6912885078,9999.61673733319,22822.4811381529
"FT0113",202406.402785155,0,0,0,0,317641.354945223,0,0
"FT0114",243165.600998753,0,0,4094.90575192014,45776.6554088602,7944.12562017953,33354.3658454143,12940.1233774106
"FT0115",190497.69422258,0,0,0,0,0,0,1145.94689062507
"FT0116",521774.832062637,0,6639.51755660069,0,0,1701.95882977449,0,832.80879977605
"FT0117",5573150.27544811,686632.031355409,600193.24262259,466513.127556571,423450.094531773,607410.239845539,1702422.99676099,1203658.79456175
"FT0118",45398657.9653402,790727.630999997,978719.429139115,411712.986133423,148132.834888409,670065.474627134,263161.753716568,622259.224433585
"FT0119",609915.780082129,11948.3659647219,73275.9902419307,34890.7199154882,23679.7014228353,47907.6295123406,20940.5815960841,51435.8616279872
"FT0120",408882.625809982,4349.64746624462,25328.1501884426,4404.31717456789,981.989181409508,9489.80162225,7885.11129385792,9912.82314482568
"FT0121",461450.693068658,0,0,0,0,1182.53658122044,515.036704087716,0
"FT0122",170216.332067867,0,9288.50814519046,6980.854326314,0,3561.09426375623,2713.12488159464,3217.76788707494
"FT0123",2263774.0823156,0,0,0,0,0,0,0
"FT0124",193096.896783254,0,0,0,0,0,0,0
"FT0125",9460106.00567186,0,185599.506969274,663.856775816864,0,0,0,0
"FT0126",631582.138848155,0,4522.87204042445,0,0,0,0,0
"FT0127",329587.923286481,0,0,0,0,0,0,0
"FT0128",553620.249519104,44119.2448828269,160197.828458392,167059.121620945,63916.8197942825,33842.2952175326,94163.4245821219,107727.596463747
"FT0129",15954687.7863346,405246.340586158,1391990.20862943,704380.560706388,306987.888081055,944421.088236484,435303.984029265,837642.22670206
"FT0130",484943.818816889,0,783.868471420089,0,0,0,0,0
"FT0131",187374.490576037,0,6416.07174457911,0,0,0,2212.98516795397,0
"FT0132",3492768.33843571,89619.1755697712,286292.537464486,153962.687140349,63108.2408560105,181336.276250003,100468.610481334,149873.76928426
"FT0133",150267.063157764,3616.84094829034,46693.3026307098,37667.5294960094,18428.4319250878,0,31669.2206350442,21505.0778682611
"FT0134",193272.089855241,362964.228077868,569549.090156902,456315.597344912,377252.478558106,422110.028851883,519955.015658777,506179.396210019
"FT0135",578160.432050783,0,270491.752382088,212872.06043396,175486.744211119,155246.766915924,90824.7990335103,96992.0855140718
"FT0136",11352382.6213542,1039172.11844971,3066344.08942707,2176039.17439452,1293473.45348558,1899834.3302832,1751934.81305138,2437719.25245793
"FT0137",666339.611905333,111091.94014117,265292.316193806,117679.289010022,100387.597153012,138750.608554097,171932.922463306,167202.410012626
"FT0138",389993.210792522,0,0,0,0,505.720493109962,0,1872.88858477259
"FT0139",215099.078950195,52898.4323908548,22352.3262068794,32080.0732710021,4802.43670405683,12997.4063063519,2083.63396940274,1777.60544515924
"FT0140",2053757.41547852,187849.240278544,544518.256919167,399877.784055173,201352.21588379,329202.891035156,326543.930117375,411045.586862187
"FT0141",1134669.73630999,1229514.61584134,1488247.60663085,1056552.08885955,1168209.57654557,1190605.59219043,1894212.12757324,1644322.79708334
"FT0142",941522.69107594,249851.666858474,193674.184913575,218926.035504773,262955.779669743,283266.504712613,182542.377610426,206256.443654562
"FT0143",0,225924.458310921,182738.244237268,151170.819641543,214480.639074368,109639.732865196,115940.089231115,162108.990271662
"FT0144",11068.8084368915,148031.991657309,103375.332964477,105920.28567665,157989.691462359,111809.694137885,116267.602208821,80888.4283975174
"FT0145",556268.846449496,450361.875323661,308231.122974286,224607.382711619,221793.02174203,244267.505820046,166030.345554231,170388.174853978
"FT0146",1643691.22203644,673336.783413458,1849040.6434877,1926192.831875,2032818.70858261,2139243.5001486,2212689.59662174,2411831.07786768
"FT0147",549861.981108071,236200.891693023,292333.727869596,221732.587890452,168551.816950956,275250.0040627,202540.867595881,288768.629465893
"FT0148",151784.184230469,199462.633034677,138015.934886069,156882.529886462,173982.096004665,182875.833689097,303397.726994977,269718.030974143
"FT0149",309438.761796206,142880.549980886,295609.123868075,321871.217855796,363101.537490238,393804.433107425,389612.44631592,344237.189687093
"FT0150",516779.828769963,514348.382163461,267563.689712802,168907.118124436,2022477.1701158,1786495.41118026,392855.69253906,526120.719156188
"FT0151",296827.133203125,568889.962488758,1414623.7086562,1368156.57702436,3158042.39201171,2322780.65958289,933805.014295956,799084.549258427
"FT0152",3509.74651371423,7631.79657471231,228915.867993292,271867.637004622,467056.418677118,234717.320384887,510605.513870961,577847.000650147
"FT0153",178913.144213345,43593.4158204504,107487.947256189,67537.4604508486,57825.7560755241,75194.0895667145,45046.9896557613,83527.7733439685
"FT0154",549082.173657158,0,0,0,872.491712544405,0,0,0
"FT0155",144462.543546143,4463.83057928623,15913.8327789722,6775.3976561895,9779.79557058346,1667.95377678119,9556.1887736094,26273.6922163647
"FT0156",470398.398069408,333615.740234375,770317.114820081,397952.053431284,408183.339789405,442076.382082889,515905.238262936,568196.923827292
"FT0157",541092.629848307,0,51601.6118653985,39691.9414231544,0,75632.4838530143,0,7503.19607242671
"FT0158",499704.171166991,28412.9892338151,68537.9946965664,15801.765656563,5904.53367353512,11770.1937188505,26937.8209935112,26678.7754082828
"FT0159",481246.161478724,5907.52652783099,12389.9055435291,1864.83238716102,0,0,4176.47010291487,0
"FT0160",610227.996947496,0,681.249456789665,0,0,0,0,0
"FT0161",893027.408748167,331967.14561419,376916.536822856,272135.18098348,331566.714234375,401316.883433951,208470.880862481,170384.356399964
"FT0162",265992.020541789,75251.0308022423,85138.1620056605,64136.258137649,48009.6028237148,30873.8776735765,40005.3456592037,32640.4314192525
"FT0163",834437.26956979,44303.2750283433,211714.292547819,85634.6719571414,61288.3065946692,96278.5158118237,116783.234298091,147971.503050691
"FT0164",157092.553229004,0,1525.93404075831,0,0,0,0,0
"FT0165",177447.463203281,0,0,602.981250088412,0,0,0,0
"FT0166",514449.17192165,0,8870.3046443808,17039.9579704693,50336.2921676384,17258.2893051309,13331.1526139482,6602.5612007266
"FT0167",681115.684747396,95040.0683059315,158488.571151754,135152.749213759,116637.772081011,334726.715656901,191457.082033652,120740.40389414
"FT0168",738179.962969323,0,130981.498460781,71951.3774017799,30420.8456405505,94055.8709676486,46317.3676888527,72920.6055715244
"FT0169",577763.970004262,187744.003447582,97089.1708569886,80229.3685018298,52458.9263559429,76140.4165391966,62018.1095398211,72276.6576974545
"FT0170",2987741.16406247,1124043.74027204,1038104.41713695,1061625.45225757,1106637.2451465,1112290.33540475,1009700.92741292,1022353.90372022
"FT0171",4632018.24859376,49331.2444866593,170796.634418723,70461.0082614925,38792.0578472181,63781.557135941,511767.961806646,331594.924078131
"FT0172",197374.135667847,13187.2635011225,31810.7276287226,22492.477222451,5933.23442100525,88410.1938337699,39207.9821404205,10177.8641466516
"FT0173",236741.886024983,0,0,0,0,0,0,0
"FT0174",1023503.84626627,118350.097234956,46227.5074432515,27185.1057636453,12534.8645495751,24644.2797269973,144690.249488021,185415.6720412
"FT0175",962134.17268084,6665.77327565433,31385.1740226293,6155.92814827614,0,8639.36461264069,109389.061159268,71201.3625832821
"FT0176",643301.384040531,4531.88380973708,41037.3250582596,10713.8010518549,1368.92823423838,12265.3062855283,10433.4535814524,25385.3179792715
"FT0177",315807.77197266,0,0,0,0,0,0,0
"FT0178",136064.655681817,0,0,0,0,0,0,0
"FT0179",4410.62148855268,1209533.86987624,1041725.55459558,849238.585665303,819334.530411988,759536.02131736,1074318.57987877,1120735.54031771
"FT0180",1294.35357532986,247357.659527919,2112.62796963704,1536.05517130841,2325.15856277018,4037.95228796514,0,4002.81299477117
"FT0181",707435.690015619,802358.728048834,841823.174685062,810893.841878255,684235.138401423,785279.583197753,677447.983197916,614365.213358084
"FT0182",280177.57207947,113290.545369712,375603.978016699,322152.619303897,318671.77541016,392358.646274932,379117.03428467,395894.625026366
"FT0183",1192324.11467496,0,0,0,0,0,95049.3853548168,0
"FT0184",2691019.73482363,74336.3522612764,254074.002246948,86893.7784018119,47721.4771765538,98955.8792148723,79819.9727155954,146087.382759371
"FT0185",27281340.4225117,195360.118581613,1171645.48220005,347239.83642911,151288.811127772,420087.331098981,366650.35037997,545527.008285807
"FT0186",1415615.24357674,25732.1944149098,4759.48775134543,5179.24519190834,8669.231282983,23535.8404656983,338817.556359493,397465.12067889
"FT0187",4967954.05608106,32173.2956448911,213975.972816063,56538.1142126601,17271.0902766598,71886.6932373052,60729.3914499546,92665.2416243892
"FT0188",184143.360923073,1512.21930919431,6285.56021919255,1734.91049572742,2764.73191493139,625.844920141105,999.556839201501,5633.15714955367
"FT0189",52676.4851198784,364083.558367286,258431.153689679,251465.086751603,251369.385615611,251255.713445735,167796.726683631,167213.200535178
"FT0190",1013163.9172233,93264.2998179451,285947.315878091,187739.341964845,252818.257493324,216165.386634321,180738.400807294,332775.122634149
"FT0191",8328257.79885218,133310.384018516,1221260.56086613,258709.926394505,106284.618101216,327560.110361087,213189.301016013,306501.469593082
"FT0192",480342.595348004,58287.7558300854,144185.685133028,85982.4138358333,72596.3928040795,98542.4164884322,79765.5090786721,92402.9936954808
"FT0193",1648563.12932478,23791.7303051355,133219.987002441,49951.4371396211,19881.6576030123,59206.6759523798,38609.4393895781,58972.4176031637
"FT0194",4600464.50156252,6368111.70871096,6650455.37905381,6687016.02908088,6920241.5186167,7065793.02515622,7249211.3337178,7666745.41863286
"FT0195",0,18061.4827873596,204429.060662604,213060.369745118,713822.983957326,378481.858269391,39128.7256410563,56162.260288084
"FT0196",649463.61068134,110159.168979861,288467.352260744,245695.370230724,204464.735670893,249514.424792048,370281.471923829,299072.905639309
"FT0197",3657820.01369979,353286.930003141,2135270.85443847,1152848.21941524,469963.641987362,597984.035975054,451800.930240901,551631.590111469
"FT0198",572461.628393848,682059.48579722,978686.967331689,1038811.00415626,1040099.99844784,1016714.88684352,1093341.7181945,2250085.23478283
"FT0199",218610.804526193,526714.78666251,113282.466536865,278769.779158202,2931461.31482143,2831683.94353237,761260.873256186,780955.94364223
"FT0200",0,167937.62132394,36180.5062665184,41970.9143992652,83829.7131905442,75353.5711372572,31837.1183737543,41523.4591411764
"FT0201",160660.678140023,147325.678464224,870516.337689301,439510.9767294,279901.528330008,539663.733356216,256183.713894776,353516.664230736
"FT0202",411311.679945588,0,252306.700426141,0,0,0,0,163562.601936382
"FT0203",619687.801050182,47785.2203325022,93612.9316115086,62374.3006486463,62151.692850769,88924.1482613869,81397.8046536183,95409.3813106994
"FT0204",154292.025328776,0,0,0,0,0,0,0
"FT0205",11300.8455514758,112191.704515624,144946.089565298,93829.3682605181,106355.423005224,74345.1285547036,111813.714337124,109317.388255796
"FT0206",234494.29981608,110103.919310822,153850.245857395,123933.697054443,122170.064807035,124637.530876735,112751.924180609,129957.899351664
"FT0207",170562.857057165,0,0,0,0,0,0,0
"FT0208",170354.236139199,12737.8853349576,28140.9201254703,25308.6348721045,22686.0434284856,28124.7361545427,27816.3179083007,31817.468897631
"FT0209",6988424.64498953,47905.6549997812,91285.2865334186,55672.9670824434,23626.4093615543,41477.8110393267,61042.2508384809,29853.4827450116
"FT0210",915125.420650634,0,0,0,2883.61255861689,0,0,0
"FT0211",1551257.59786284,8287.27397466952,15014.4239374842,7490.98397943905,1541.76576906493,5441.8472862173,3914.85210491744,1773.12177192937
"FT0212",19552.1927353778,314986.481972656,367445.562256296,482207.442244789,209609.017624609,161600.478043767,534985.911173651,230797.575500488
"FT0213",22219772.8006883,152655.036104485,347675.46312032,118777.560887572,60939.1620198972,141197.297355145,85632.8994557653,120148.750195005
"FT0214",970359.647005477,1054.52532487138,0,0,0,0,0,0
"FT0215",23695.3290488871,233528.726570069,89900.8468011687,49099.5371776734,13898.7925803663,15716.8963904142,41582.549899065,139375.10860807
"FT0216",5552356.9911421,623.511979313475,20589.9171775688,1666.83840656832,628.147633815549,1745.45806747089,846.198359567201,2819.29456527332
"FT0217",127282.170033032,3078.74630824371,1210.19716699126,0,0,0,0,0
"FT0218",527421.212067526,72645.6274840461,23184.3181700427,32463.5368693805,39981.1218465835,73463.8108624017,80251.7264559241,99033.4455917941
"FT0219",2261373.00368719,0,0,0,0,0,0,0
"FT0220",1927652.95747425,61143.5874331894,259453.557339084,83881.4122506976,57125.3544640282,99244.449883791,172798.766956624,246065.813448826
"FT0221",466738.217368538,1196.74687045166,8500.15055435736,2673.78914934837,1271.4958009537,0,1276.88589870089,0
"FT0222",427635.551382604,143724.831510639,61435.7185062306,39817.6243946463,57658.3843694855,88994.778583736,75540.3092882008,100583.834047586
"FT0223",5082332.56362731,81069.2673291412,492842.305632588,167252.342681999,114636.984159422,185265.031774784,261792.77345809,350290.082121088
"FT0224",2138606.19719402,201212.208049541,498750.710131883,264377.447442644,220004.92495974,326367.403941049,437948.527819283,449187.658286772
"FT0225",200890.284410159,0,0,0,0,0,0,0
"FT0226",576641.402174725,4268.46562566412,28069.0965507016,12168.5182082462,3336.64126425004,12825.5884990018,5097.73508369485,14151.9630645428
"FT0227",105330.383904893,0,658.341000271064,0,0,0,0,1578.124351139
"FT0228",286637.144950466,2934.827634178,0,0,0,1721.210214547,6363.36575653768,1552.88192037268
"FT0229",969183.213498899,6061.9082307501,83211.2771236656,34418.4432367208,0,35804.0247147715,47545.2498384745,60098.4782161768
"FT0230",488793.789933203,3471.12460580676,28926.467440113,46610.4534548281,0,66977.2220578713,25027.9181683862,7173.35141297602
"FT0231",19669.0130481194,214508.768458808,70007.554795185,103105.847550839,94518.0930814903,64492.7236007961,109943.791195985,142322.847835488
"FT0232",119728.116674501,11099.1972387863,11897.4901499715,1948.33597149529,0,881.73331012518,0,0
"FT0233",8164087.13895649,268698.474901981,1293515.824982,476263.380418442,309287.677727821,479240.838649622,906180.118203123,880342.570145731
"FT0234",2682685.3822754,72558.1702880341,396420.785885794,183624.851442525,104371.103132752,208850.55058593,141031.961586761,248802.41846956
"FT0235",1344151.29282227,50953.7354829373,261515.705676536,82112.6799608495,56636.8463001999,102715.720358472,129732.290594579,154912.155929298
"FT0236",1205712.5524972,20055.2615099792,117745.833256805,43271.7659134351,19398.9099137065,49464.112474651,61840.7864658483,72966.8966511174
"FT0237",539994.934689454,8150.98679040006,70439.2952864711,27949.7331895183,19756.6692886463,36158.3947105231,17162.8021492994,36571.7942385714
"FT0238",1209171.12906697,0,187427.906223142,578.436978280758,14843.3364451018,674.287478386434,12246.7715196225,22196.6991781299
"FT0239",2210375.88047903,68146.198016721,63592.0586417647,76340.873886074,62024.5703217764,106682.430020398,24509.3678215685,32466.559574954
"FT0240",17673330.461268,18208634.1183268,21470683.1000719,31705880.7567114,14221405.5427381,19437071.5553125,18647917.4798439,29005030.2628163
"FT0241",8537116.12845434,677520.283871039,1735496.13281247,1307031.83385102,833988.810726902,833075.068557128,1867247.01444173,4384339.91987258
"FT0242",5352534.56823615,2409210.2455416,4446788.17294164,2492258.46383561,2893847.39945071,2875688.47897393,3041634.25880197,3844299.68085935
"FT0243",302022.173521899,304661.606633048,594453.501916733,615014.608402664,6402172.78077433,688115.910832799,688605.614014793,669302.319331645
"FT0244",641193.049855958,0,174845.160085228,0,0,0,0,506.241562445082
"FT0245",537947.677792968,165443.050496215,401148.181189126,283860.996684897,214163.693913576,343170.330672785,226388.260836914,305328.229401293
"FT0246",283293.252944531,0,0,1713.45641100463,0,0,0,0
"FT0247",294214.014833132,0,0,0,0,0,0,0
