Features,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Litter,peat,peat_litter,ms_level,BNC,Bog_T0,III_Bog_N1,III_Bog_N2,II_Bog_N1,II_Bog_N2,I_Bog_N1,I_Bog_N2
FT001,221.045598727791,221.045598176212,221.045600527358,1090.81176339517,1090.35977002171,1094.25400069516,3,1,1,1,1,4281246.88935381,1447325.27366832,1964508.51372364,1755048.59208034,1470807.68837952,1568534.90859415,1699757.54647559,1584472.43801574
FT002,249.186047918084,249.186047918084,249.186047918084,2800.43763488189,2800.43763488189,2800.43763488189,1,1,0,0,1,1802814.61813211,0,0,0,0,0,0,0
FT003,253.217346303415,253.217346303415,253.217346303415,3016.49106245861,3016.49106245861,3016.49106245861,1,1,0,0,1,1245197.74442708,40961.8530449667,115206.476595741,75536.6259158608,44075.0556304153,65364.9195085753,38817.2077440212,81496.2705636186
FT004,255.232984334048,255.232984334048,255.232984334048,3085.40609783183,3085.40609783183,3085.40609783183,1,1,0,0,1,5079142.68734617,524479.578022351,1647060.84933674,935217.349679575,1169840.2575404,1296816.82062207,1170790.73027301,1407095.44485851
FT005,259.558153917371,259.558153917371,259.558153917371,1205.61221508879,1205.61221508879,1205.61221508879,1,1,0,0,1,11004893.4929194,3833.11406023403,2443.15314007101,4821.49659876597,6159.00499907308,5007.68318680994,2887.44460324518,0
FT006,271.22792580838,271.22792580838,271.22792580838,2967.53755028843,2967.53755028843,2967.53755028843,1,1,0,0,1,3083859.94528246,215894.826776976,372624.503149414,229155.239772859,190997.750653584,261859.702862336,168389.71159916,290159.11162359
FT007,275.201699204779,275.201699204779,275.201699204779,2629.86607889322,2629.86607889322,2629.86607889322,1,1,0,0,1,2565895.91781247,0,1611.09512945407,0,0,382.442005714297,0,574.780700638771
FT008,277.217337349096,277.217337349096,277.217337349096,2988.23297142348,2988.23297142348,2988.23297142348,1,1,0,0,1,44548306.8599836,370797.555252248,842139.64320358,427893.567718328,118643.85205371,496719.708732252,236827.362531136,582163.0827388
FT009,277.721635370551,277.721635370551,277.721635370551,2988.23297142348,2988.23297142348,2988.23297142348,1,1,0,0,1,1283419.12522839,0,0,0,0,0,0,0
FT010,278.220718465966,278.220718465966,278.220718465966,2988.23297142348,2988.23297142348,2988.23297142348,1,1,0,0,1,8446639.14919092,63537.3345159843,159195.733879173,76556.8228231171,17691.0968783466,89057.1230278799,43857.1412369724,112246.447330255
FT011,279.232993152498,279.232990058393,279.232996246602,3050.36408628609,3039.50761819355,3061.22055437864,2,1,0,1,1,15783627.803762,283173.900318419,995691.033606453,379839.413314751,136190.695128637,425975.500330894,259190.276343663,542486.103139296
FT012,280.23636944353,280.23636944353,280.23636944353,3061.22055437864,3061.22055437864,3061.22055437864,1,1,0,0,1,3193943.2593164,7480.02244791078,24090.9344487572,10655.8072428688,6686.71836628311,12305.7387276419,6542.961534388,15105.1044096912
FT013,281.248652228309,281.248639114083,281.248666510653,3109.84426142034,3106.00423192532,3111.02970583549,6,1,0,5,1,11352382.6213542,1046844.6936438,2664591.21723634,2117059.98005324,1396329.55833734,1645036.27305664,1751934.81305138,1794276.54164064
FT014,283.264302878923,283.26429682883,283.264310920337,3198.98821489238,3197.74518258562,3199.6052117016,6,0,0,6,1,1387938.24344199,682123.709206433,1194504.99328124,1176249.99462305,1697146.56864259,1385782.02753907,2212689.59662174,2006149.45847244
